81,45
36,45
97,63
102,59
17,27
69,45
36,45
121,27
139,69
96,51
22,37
76,37
40,33
84,33
145,33
81,33
107,37
144,55
42,37
127,55
81,34
63,52
103,48
74,34
0,17
48,31
97,49
98,49
91,36
19,36
43,36
79,36
110,61
105,61
128,61
53,47
82,33
54,33
77,51
123,33
85,36
73,50
97,36
92,54
51,32
129,32
91,50
162,50
72,47
81,33
88,47
55,33
62,26
91,26
60,26
132,26
15,47
85,47
119,61
149,79
162,51
107,65
57,51
77,51
71,52
97,34
55,34
162,34
61,19
98,19
114,37
37,19
138,69
113,37
70,37
68,37
139,47
138,65
93,47
63,47
162,56
119,56
31,42
78,42
147,53
59,35
97,39
69,21
135,58
75,58
52,58
134,76
25,29
114,61
162,29
64,47
107,32
138,50
131,50
36,46
46,24
73,42
0,24
103,42
82,41
30,27
120,41
72,27
80,41
42,27
22,41
82,41
51,31
126,31
60,49
100,31
21,30
69,62
72,30
122,30
11,30
162,48
14,16
88,16
64,37
92,37
96,37
97,37
91,42
52,42
99,42
107,74
58,34
50,48
64,34
62,34
138,30
126,48
39,30
129,44
107,45
118,59
55,45
135,63
132,30
129,44
53,30
55,30
25,31
76,31
76,31
113,49
115,33
80,51
27,19
78,37
87,38
116,52
103,38
17,38
116,45
88,41
50,45
111,45
43,31
73,45
62,31
77,31
74,34
15,34
103,48
116,34
102,38
111,56
52,38
98,70
86,45
137,45
109,63
121,59
121,49
39,49
138,49
135,63
94,57
96,43
72,43
70,43
136,44
144,44
45,44
77,44
125,55
98,41
46,23
97,37
117,65
118,51
18,33
57,33
0,38
102,38
59,38
29,38
119,48
37,44
76,30
114,48
91,12
58,26
70,30
67,12
99,48
35,30
104,48
63,48
77,51
59,37
56,55
92,37
47,26
64,26
69,26
82,44
119,40
123,58
33,40
79,40
76,31
74,31
108,31
22,17
16,18
116,18
73,18
24,18
43,42
96,60
40,42
89,42
93,30
94,16
115,34
94,16
59,32
117,50
35,32
125,64
102,51
66,33
103,51
24,51
34,64
69,64
123,46
40,46
104,32
59,18
106,36
96,50
108,46
102,46
54,32
133,32
24,36
57,40
67,22
58,22
92,61
61,29
63,29
123,47
27,37
89,55
120,37
28,37
26,9
66,23
97,27
114,9
115,50
46,50
21,36
21,36
67,28
77,46
58,46
57,28
110,47
106,43
9,29
28,29
96,30
114,48
59,30
125,44
58,51
93,47
82,33
58,33
94,50
18,32
129,50
62,32
135,25
61,25
45,25
100,25
117,24
72,24
119,24
129,38
